Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Skewer_mqc-generalstats-skewer-pct_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ra	80.48	804802.0						
ra1m.R1			5.171905171905172	7.099999999999994	50.0	100.0	27.27272727272727	10000.0
rb	77.61	776113.0						
rb1m.R1			3.7642752855057102	6.829999999999998	50.0	100.0	27.27272727272727	10000.0
rc	82.17	821654.0						
rc1m.R1			3.3287233010631074	4.609999999999999	49.0	100.0	9.090909090909092	10000.0
rd	81.49	814891.0						
rd1m.R1			3.612614450457802	4.340000000000003	49.0	100.0	18.181818181818183	10000.0
re	79.58	795810.0						
re1m.R1			3.7682168147212565	5.179999999999993	49.0	100.0	9.090909090909092	10000.0
rf	81.82	818170.0						
rf1m.R1			3.6697110091330276	5.040000000000006	49.0	100.0	18.181818181818183	10000.0
rg	81.02	810221.0						
rg1m.R1			4.586155033860407	4.679999999999993	49.0	101.0	9.090909090909092	10000.0
sa	80.27	802654.0						
sa1m.R1			4.243150917811014	6.340000000000003	49.0	101.0	27.27272727272727	10000.0
sb	73.95	739453.0						
sb1m.R1			3.7286186430932156	12.010000000000005	50.0	100.0	27.27272727272727	10000.0
sc	81.24	812405.0						
sc1m.R1			3.747229977839823	6.089999999999989	50.0	100.0	27.27272727272727	10000.0
sd	78.42	784222.0						
sd1m.R1			3.9187352686174175	6.430000000000007	50.0	100.0	9.090909090909092	10000.0
se	82.89	828862.0						
se1m.R1			3.6270253891777244	4.510000000000005	49.0	100.0	9.090909090909092	10000.0
sf	72.07	720710.0						
sf1m.R1			3.7902265315857213	14.88000000000001	50.0	100.0	27.27272727272727	10000.0
sg	82.07	820653.0						
sg1m.R1			3.635550897712568	4.840000000000003	49.0	100.0	18.181818181818183	10000.0
