Sample	r_processed	r_short_filtered	r_empty_filtered	r_avail	r_trimmed	r_untrimmed	pct_avail	pct_trimmed	pct_untrimmed
ra1m.R1	1000000	1	0	999999	51719	948280	99.9999	5.171905171905172	94.82809482809483
rb1m.R1	1000000	20	0	999980	37642	962338	99.998	3.7642752855057102	96.2357247144943
rc1m.R1	1000000	5	2	999993	33287	966706	99.9993	3.3287233010631074	96.6712766989369
rd1m.R1	1000000	4	0	999996	36126	963870	99.9996	3.612614450457802	96.3873855495422
re1m.R1	1000000	31	0	999969	37681	962288	99.9969	3.7682168147212565	96.23178318527874
rf1m.R1	1000000	3	0	999997	36697	963300	99.9997	3.6697110091330276	96.33028899086698
rg1m.R1	1000000	11	1	999988	45861	954127	99.9988	4.586155033860407	95.41384496613959
sa1m.R1	1000000	12	0	999988	42431	957557	99.9988	4.243150917811014	95.75684908218899
sb1m.R1	1000000	5	0	999995	37286	962709	99.9995	3.7286186430932156	96.27138135690679
sc1m.R1	1000000	8	0	999992	37472	962520	99.9992	3.747229977839823	96.25277002216018
sd1m.R1	1000000	8	1	999991	39187	960804	99.9991	3.9187352686174175	96.08126473138259
se1m.R1	1000000	7	0	999993	36270	963723	99.9993	3.6270253891777244	96.37297461082228
sf1m.R1	1000000	4	3	999993	37902	962091	99.9993	3.7902265315857213	96.20977346841428
sg1m.R1	1000000	13	1	999986	36355	963631	99.9986	3.635550897712568	96.36444910228744
