Module	Section	Sample Name	Source
STAR	SummaryLog	Log.final.out	/usr/src/multiqc/dataset1/sg/Log.final.out
Skewer	all_sections	ra1m.R1	/usr/src/multiqc/dataset1/ra/ra1m.R1-trimmed.log
Skewer	all_sections	rb1m.R1	/usr/src/multiqc/dataset1/rb/rb1m.R1-trimmed.log
Skewer	all_sections	rc1m.R1	/usr/src/multiqc/dataset1/rc/rc1m.R1-trimmed.log
Skewer	all_sections	rd1m.R1	/usr/src/multiqc/dataset1/rd/rd1m.R1-trimmed.log
Skewer	all_sections	re1m.R1	/usr/src/multiqc/dataset1/re/re1m.R1-trimmed.log
Skewer	all_sections	rf1m.R1	/usr/src/multiqc/dataset1/rf/rf1m.R1-trimmed.log
Skewer	all_sections	rg1m.R1	/usr/src/multiqc/dataset1/rg/rg1m.R1-trimmed.log
Skewer	all_sections	sa1m.R1	/usr/src/multiqc/dataset1/sa/sa1m.R1-trimmed.log
Skewer	all_sections	sb1m.R1	/usr/src/multiqc/dataset1/sb/sb1m.R1-trimmed.log
Skewer	all_sections	sc1m.R1	/usr/src/multiqc/dataset1/sc/sc1m.R1-trimmed.log
Skewer	all_sections	sd1m.R1	/usr/src/multiqc/dataset1/sd/sd1m.R1-trimmed.log
Skewer	all_sections	se1m.R1	/usr/src/multiqc/dataset1/se/se1m.R1-trimmed.log
Skewer	all_sections	sf1m.R1	/usr/src/multiqc/dataset1/sf/sf1m.R1-trimmed.log
Skewer	all_sections	sg1m.R1	/usr/src/multiqc/dataset1/sg/sg1m.R1-trimmed.log
FastQC	all_sections	ra1m.R1	/usr/src/multiqc/dataset1/ra/ra1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	rb1m.R1	/usr/src/multiqc/dataset1/rb/rb1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	rc1m.R1	/usr/src/multiqc/dataset1/rc/rc1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	rd1m.R1	/usr/src/multiqc/dataset1/rd/rd1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	re1m.R1	/usr/src/multiqc/dataset1/re/re1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	rf1m.R1	/usr/src/multiqc/dataset1/rf/rf1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	rg1m.R1	/usr/src/multiqc/dataset1/rg/rg1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	sa1m.R1	/usr/src/multiqc/dataset1/sa/sa1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	sb1m.R1	/usr/src/multiqc/dataset1/sb/sb1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	sc1m.R1	/usr/src/multiqc/dataset1/sc/sc1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	sd1m.R1	/usr/src/multiqc/dataset1/sd/sd1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	se1m.R1	/usr/src/multiqc/dataset1/se/se1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	sf1m.R1	/usr/src/multiqc/dataset1/sf/sf1m.R1.fastq.gz_tmp_fastqc.zip
FastQC	all_sections	sg1m.R1	/usr/src/multiqc/dataset1/sg/sg1m.R1.fastq.gz_tmp_fastqc.zip
