Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
ra	999999.0	99.0	804802.0	80.48	99.46	457213.0	455135.0	453288.0	3315.0	437.0	173.0	0.16	0.0	1.49	0.0	1.35	186771.0	18.68	485.0	0.05	0.05	0.67	0.07	503	6735	704
rb	999980.0	99.0	776113.0	77.61	99.62	440598.0	438676.0	436676.0	3328.0	440.0	154.0	0.17	0.0	1.49	0.0	1.33	214680.0	21.47	389.0	0.04	0.07	0.73	0.08	700	7298	800
rc	999993.0	99.0	821654.0	82.17	99.55	492082.0	489480.0	487969.0	3494.0	478.0	141.0	0.16	0.0	1.67	0.0	1.35	170320.0	17.03	558.0	0.06	0.05	0.64	0.06	497	6367	597
rd	999996.0	99.0	814891.0	81.49	99.62	479066.0	476814.0	474805.0	3486.0	581.0	194.0	0.16	0.0	1.55	0.0	1.22	171439.0	17.14	726.0	0.07	0.06	1.12	0.12	597	11148	1194
re	999969.0	99.0	795810.0	79.58	99.59	465777.0	463843.0	461816.0	3302.0	494.0	165.0	0.17	0.0	1.5	0.0	1.22	194725.0	19.47	361.0	0.04	0.06	0.8	0.05	598	7976	499
rf	999997.0	99.0	818170.0	81.82	99.62	473453.0	471225.0	469380.0	3404.0	492.0	177.0	0.16	0.0	1.52	0.0	1.33	172576.0	17.26	377.0	0.04	0.07	0.77	0.05	698	7678	499
rg	999988.0	100.0	810221.0	81.02	100.5	480903.0	478414.0	476889.0	3369.0	520.0	125.0	0.19	0.0	1.56	0.0	1.33	171025.0	17.1	480.0	0.05	0.13	1.64	0.05	1304	16456	502
sa	999988.0	100.0	802654.0	80.27	100.57	469232.0	467499.0	464975.0	3585.0	523.0	149.0	0.19	0.01	1.47	0.0	1.5	179020.0	17.9	312.0	0.03	0.14	1.62	0.04	1400	16202	400
sb	999995.0	99.0	739453.0	73.95	99.59	415037.0	413151.0	411277.0	3249.0	399.0	112.0	0.16	0.0	1.55	0.0	1.32	250934.0	25.09	317.0	0.03	0.08	0.81	0.04	799	8092	400
sc	999992.0	99.0	812405.0	81.24	99.61	474000.0	471593.0	469976.0	3385.0	443.0	196.0	0.16	0.0	1.64	0.0	1.34	177633.0	17.76	742.0	0.07	0.05	0.76	0.11	501	7610	1101
sd	999991.0	99.0	784222.0	78.42	99.59	440374.0	438049.0	436577.0	3249.0	359.0	189.0	0.17	0.0	1.52	0.0	1.26	201141.0	20.11	973.0	0.1	0.09	1.04	0.24	897	10366	2392
se	999993.0	99.0	828862.0	82.89	99.63	480784.0	478946.0	476385.0	3603.0	558.0	238.0	0.17	0.0	1.48	0.0	1.17	161614.0	16.16	391.0	0.04	0.07	0.79	0.06	694	7836	595
sf	999993.0	99.0	720710.0	72.07	99.55	398347.0	396065.0	394908.0	2927.0	367.0	145.0	0.19	0.0	1.51	0.0	1.38	267646.0	26.76	357.0	0.04	0.11	0.97	0.05	1098	9683	499
sg	999986.0	99.0	820653.0	82.07	99.63	484201.0	482207.0	479811.0	3620.0	593.0	177.0	0.16	0.0	1.48	0.0	1.36	171069.0	17.11	481.0	0.05	0.05	0.66	0.07	499	6586	698
