""	"PC9.DMSO1"	"PC9.DMSO2"	"PC9.DMSO3"	"PC9.osiacute1"	"PC9.osiacute2"	"PC9.osiacute3"	"PC9.osiDTP1"	"PC9.osiDTP2"	"PC9.osiDTP3"
"A1BG"	0.0578525457048058	0.125857576793771	0.111476115425518	0.205891649372787	0.341182368289069	0.14572523739153	0.561510654114756	1.35822391659559	0.364540138701123
"A1CF"	0.0447936563607756	0.087974880627304	0.0643242129882111	0.126829566253813	0.217402613999825	0.0616517291838027	0.407905014288383	0.185769892794918	0.202450377821709
"A2M"	0.22256106951506	0	0	0.383221407111075	0	0.00893887716851344	0.0104284394682903	0.829711568806354	0.176036217246516
"A2ML1"	3.32689676864835	2.55084662067971	2.13824360035138	4.2918211527427	5.31615600169348	6.09053254659575	20.8761730687411	24.6850977631469	20.2324198366182
"A3GALT2"	0	0	0	0.024459856893304	0.041669921769323	0.0240011746840914	0.0833693625957283	0.0240321476306806	0.0640561093005972
"A4GALT"	7.96455166283989	9.07515080338929	8.00994894468834	34.1902564608072	38.5308531807567	35.4657940008229	66.9698282710617	75.9794579178137	62.5728124804135
"A4GNT"	0	0	0	0.123743596881418	0.231968041367975	0	0.0281407936311953	0.0242693127739131	0.064728456305331
"AAAS"	62.5516041619237	64.6505228077362	57.7765223412633	57.7422207678672	51.9412796588828	54.4889101237745	52.8289273814375	57.8273773089093	54.51928245958
"AACS"	49.5667568104062	53.7385361571651	57.7625577453755	44.6069490054405	45.9726251784595	47.352444646742	49.5499910328129	48.7324437733269	51.0027938178681
"AADAC"	0	0	0	0	0	0	0	0	0.016199914952484
"AADACL2"	0	0	0	0	0	0	0.0199286111117469	0.0339275589666292	0.150789975314357
"AADACL3"	0	0.0219586581617303	0.0253865039219626	0.149658980055828	0.0212582689848972	0.0730034517783501	0.0567530578773987	0.0977208450727973	0.0434555715012676
"AADACL4"	0	0	0	0	0	0	0	0	0
