gene	PC9.DMSO1	PC9.DMSO2	PC9.DMSO3	PC9.osiacute1	PC9.osiacute2	PC9.osiacute3	PC9.osiDTP1	PC9.osiDTP2	PC9.osiDTP3
A1BG	2.134688206	5.929363703	4.331146037	8.027630154	15.7629577	5.853537111	19.47266554	54.6598821	16.44427207
A1CF	1.652831155	4.144645696	2.499168177	4.945032271	10.0442125	2.476446024	14.14576528	7.47605775	9.132462355
A2M	8.212231362	0	0	14.94164398	0	0.359059626	0.36164855	33.39061842	7.940929251
A2ML1	122.7584233	120.1747066	83.07649814	167.3363296	245.6115848	244.6464245	723.9662025	993.4183288	912.6770446
A3GALT2	0	0	0	0.953679692	1.925190969	0.964086724	2.891171703	0.967141235	2.889547617
A4GALT	293.8822189	427.5457318	311.2079973	1333.063942	1780.162943	1424.601154	2322.451155	3057.690386	2822.636641
A4GNT	0	0	0	4.824711603	10.71714943	0	0.975896465	0.976685625	2.919876944
AAAS	2308.077718	3045.795677	2244.772836	2251.345278	2399.737707	2188.727658	1832.057907	2327.184485	2459.344853
AACS	1828.952726	2531.713496	2244.230274	1739.206471	2123.980057	1902.067871	1718.347454	1961.171202	2300.717339
AADAC	0	0	0	0	0	0	0	0	0.730772227
AADACL2	0	0	0	0	0	0	0.691105638	1.365368663	6.802080529
AADACL3	0	1.034509594	0.986333758	5.835141662	0.982152731	2.932425583	1.968143091	3.932643068	1.960264906
AADACL4	0	0	0	0	0	0	0	0	0
AADAT	285.0939496	271.8728471	257.0937708	126.9382645	90.54423171	92.59578929	166.2735044	164.1281742	234.1923068
AAGAB	3719.665601	4518.591827	3392.854584	2448.117375	2730.566127	2771.681789	2168.428999	2309.471459	2637.97726
AAK1	1893.258516	3012.171724	2370.606664	4255.884044	5334.942658	4104.158308	2572.24154	2574.580723	3159.451541
AAMDC	153.6275961	281.2944311	160.6629526	566.666047	652.7939711	503.9198049	509.0116699	662.3213052	684.0052097
AAMP	7809.734033	9254.064345	7692.629876	6906.738927	8082.522438	7006.240771	5983.938434	6743.800599	7932.50906
AANAT	15.128214	29.22041178	17.09763434	11.35624131	8.891485385	19.30372773	17.0869748	11.21163182	11.25878535
AAR2	1732.870976	1994.094083	1666.15225	1651.098928	1962.404016	1739.712407	1486.466819	1788.276567	2141.99841
AARD	6.461911543	11.80701327	4.213458004	16.59854207	29.30401473	13.31253188	26.8691588	30.82367424	41.06523483
AARS1	6202.378012	8339.220315	6881.873636	4063.503535	4789.268934	4028.325163	5482.882283	6757.548478	6566.6745
AARS2	1296.842576	1650.511885	1296.707809	1010.583075	1183.042021	1160.046427	907.2041463	1315.544302	1387.278642
AARSD1	1105.537438	1237.443809	1062.917192	632.8322108	751.8860017	706.1206058	553.2723939	720.4599082	649.793218
AASDH	384.5961876	496.0161053	399.1817448	345.454313	471.5463534	389.0565889	375.2016653	436.7315662	377.7833335
AASDHPPT	3349.389268	3711.979399	3080.729591	1700.960339	1735.26545	1702.113841	1474.291298	1836.69757	2020.290736
AASS	78.38816614	90.97551523	50.67911512	135.5671159	204.9451081	159.8876628	129.0468461	122.1464268	142.4622745
AATF	4064.089952	4463.652759	4370.411806	2480.774334	2533.265811	2554.397757	1775.490062	2201.201586	2431.233825
AATK	1.049198559	6.129835543	5.238311232	45.35151689	100.36952	102.7573618	84.68911273	56.57480319	52.52166663
ABAT	371.9904719	698.9277924	444.5135383	1424.293706	1985.415086	1359.380155	856.2046122	886.2050032	953.2423825
ABCA1	2099.18342	1949.570093	1982.058961	2595.898236	2317.214343	1607.757163	2092.233147	2569.402673	2998.460912
ABCA10	7.334885531	6.098063161	6.501583805	3.1905843	69.09276814	47.73959305	14.04722311	31.38040638	25.01111243
ABCA12	11.5267795	84.1873077	10.45792739	23.68675588	29.23995551	50.8338523	40.52644399	33.68673863	57.75849402
ABCA13	63.20234488	27.64998429	19.20236546	6.833780415	9.203566734	5.880991229	9.330672263	13.36813264	16.3432673
ABCA2	4368.063954	6019.482441	4563.223735	4950.633845	6562.786255	6013.333715	5809.275011	7691.290943	7808.383601
ABCA3	933.9517768	1046.586196	880.3027115	757.0780956	604.6314515	711.9648338	740.0012671	871.7052159	1058.989995
ABCA4	65.59869818	190.5857504	102.6768017	783.6539944	1339.311954	882.1904454	486.7613759	727.0423262	689.3626954
ABCA5	94.22359456	123.3707402	136.2849487	527.5324408	886.0776166	655.1682165	666.2607326	933.47088	812.5924603
ABCA6	5.850571608	14.25663442	9.831497149	21.38197754	12.36568704	21.82308275	22.33302637	26.23337489	31.55946822
ABCA7	511.3014178	551.729768	353.4860811	667.7144518	660.5373386	680.1810995	449.6167479	638.2773949	610.6986269
ABCA8	2.333147613	3.918907479	1.925239559	1.795144789	0.780516079	0.777189215	1.563981872	2.56586271	9.93803718
ABCA9	16.2559889	20.43671493	5.409254135	23.743574	50.87470194	20.15928881	22.31890673	68.3670573	35.56641034
ABCB1	0	0	0	0	0	3.128486653	3.123445876	30.56959551	7.17098926
ABCB10	869.1846076	1102.839144	948.625868	303.4907289	326.5249132	403.6543254	327.8955039	416.2471071	433.5191785
ABCB11	0.81570657	0	0	0	0	0	0	0	0
ABCB4	0	0	0	8.591889365	1.741681757	6.552111541	2.283069508	12.42674786	2.85451843
ABCB5	1.60250648	12.23167962	3.230663593	0.53123109	0.545605913	3.451246855	2.561183405	3.465624976	0.535557861
ABCB6	880.4452846	1217.425005	833.2902093	1265.162438	1388.963897	1399.995914	1210.392126	1619.33148	1657.883649
ABCB7	833.1857144	1084.214711	919.0884043	1147.494942	1585.521727	1301.005919	936.4539582	1050.157428	1047.863572
ABCB8	2996.177761	3778.565952	2856.717912	3946.08625	4083.999387	3744.805876	2213.712631	2691.746058	2825.951837
ABCB9	251.0896423	316.7106698	203.8270975	387.3581703	439.5130914	472.2494104	315.0930979	301.7596399	277.7836602
ABCC1	4345.772126	5260.520275	4988.508757	3714.234594	3627.338699	3440.124041	3678.172131	4025.23121	4431.767738
ABCC10	723.0421305	966.2772357	780.4646643	1068.427358	1102.032519	1287.297175	993.336386	1340.1954	1409.625093
ABCC11	9.667666387	9.936957532	10.87898397	33.35094483	12.32836373	20.98719046	24.09912201	22.43997983	17.4098613
ABCC12	0	0	1.361757081	0	1.478029302	7.88680722	0.770028347	0	0
ABCC2	15.61572664	21.3344954	35.28513442	18.03339943	12.44099421	15.30263655	10.13608674	0	8.139976689
ABCC3	10036.36324	16075.33207	9815.475588	6482.629268	6449.349074	6606.725114	9102.195854	9662.591355	9602.069249
ABCC4	26.88163172	58.13708991	18.51218561	32.24527377	36.93147172	25.01048765	0	3.783118692	17.0144468
ABCC5	5868.763392	10085.46017	7026.996257	24688.89206	31542.66662	22033.48406	15225.06526	21782.90627	18865.20738
